q,incumbent_approval,incumbent_default,custom_approval,custom_default
0.4599999999999999,0.45999382143960454,0.03509950160828532,0.45999382143960454,0.02764129935315118
0.4699999999999999,0.4699933336585207,0.0352521967757559,0.4699933336585207,0.02805645886667128
0.4799999999999999,0.47999284587743685,0.03634700721520274,0.47999284587743685,0.028454320653094407
0.48999999999999994,0.489992358096353,0.03643482877621449,0.489992358096353,0.029101406955136713
0.49999999999999994,0.5000081296847309,0.03690816857440166,0.5000081296847309,0.029461498439125912
0.5099999999999999,0.510007641903647,0.037651034526731915,0.510007641903647,0.02990403927694711
0.5199999999999999,0.5200071541225632,0.03792758426614971,0.5200071541225632,0.03076730660996811
0.5299999999999999,0.5300066663414793,0.038101665797466024,0.5300066663414793,0.03104580176089824
0.5399999999999999,0.5400061785603955,0.03835962904974106,0.5400061785603955,0.031374202095628086
0.5499999999999999,0.5500056907793116,0.03875602329500104,0.5500056907793116,0.03195672096254471
0.5599999999999999,0.5600052029982278,0.03913826142500435,0.5600052029982278,0.03257650542941757
0.57,0.5700047152171439,0.03982086316570157,0.5700047152171439,0.03303191944547451
0.58,0.5800042274360601,0.040115496748149806,0.5800042274360601,0.0337239291320924
0.59,0.5900037396549762,0.0404552594593105,0.5900037396549762,0.034282249841541046
0.6,0.6000032518738924,0.041000487778440196,0.6000032518738924,0.03471356566039781
0.61,0.6100027640928085,0.04144787696244369,0.6100027640928085,0.03542394114668017
0.62,0.6200022763117247,0.04227420539179692,0.6200022763117247,0.03611140249659079
0.63,0.6300017885306408,0.04281621802978295,0.6300017885306408,0.03651895630629468
0.6399999999999999,0.640001300749557,0.04349372491235202,0.640001300749557,0.03706620598546822
0.6499999999999999,0.6500008129684731,0.04432548715511419,0.6500008129684731,0.03769667558846337
0.6599999999999999,0.6600003251873893,0.04493496255419787,0.6600003251873893,0.03843121797398502
0.6699999999999999,0.6699998374063054,0.04540490693328803,0.6699998374063054,0.03880408668430121
0.6799999999999999,0.6799993496252216,0.04578929749892401,0.6799993496252216,0.03973984983979723
0.69,0.6899988618441377,0.04651601197068596,0.6899988618441377,0.040153639512689396
0.7,0.6999983740630539,0.04717550868716901,0.6999983740630539,0.04076465669423023
0.71,0.70999788628197,0.047976733002038155,0.70999788628197,0.041404264089587105
0.72,0.7199973985008862,0.048620206856058897,0.7199973985008862,0.04211643557201572
0.73,0.7299969107198023,0.04929059848096755,0.7299969107198023,0.042853642782368535
0.74,0.7399964229387185,0.050030761117946916,0.7399964229387185,0.04359289857619968
0.7499999999999999,0.7499959351576346,0.05066446983328636,0.7499959351576346,0.044334121013722985
0.7599999999999999,0.7599954473765508,0.05173077745924436,0.7599954473765508,0.045355354927046336
0.7699999999999999,0.7699949595954669,0.052262601093819284,0.7699949595954669,0.04590662415271238
0.7799999999999999,0.7800107311838447,0.05284222375085986,0.7799944718143831,0.04658967731176519
0.7899999999999999,0.7899939840332992,0.05369749109844197,0.7899939840332992,0.04750241834235495
0.7999999999999999,0.7999934962522154,0.05440835738384619,0.7999934962522154,0.04829071988943539
0.8099999999999999,0.8099930084711315,0.05506152518216673,0.8099930084711315,0.049179998795591866
0.82,0.8199925206900477,0.05587722081218274,0.8199925206900477,0.04990878807106599
0.83,0.8299920329089638,0.05677121084490763,0.8299920329089638,0.05099222285344878
0.84,0.83999154512788,0.05729549765785297,0.83999154512788,0.05175951376253339
0.8499999999999999,0.8499910573467961,0.05843870153222258,0.8499910573467961,0.052910457753887946
0.8599999999999999,0.8599905695657123,0.059328442864705434,0.8599905695657123,0.05380775920744158
0.8699999999999999,0.8699900817846284,0.06032855514231783,0.8699900817846284,0.055058216681929464
0.8799999999999999,0.8799895940035446,0.061398322308857764,0.8799895940035446,0.056354162817338606
0.8899999999999999,0.8899891062224607,0.06260847324478871,0.8899891062224607,0.05743829585106966
0.8999999999999999,0.8999886184413769,0.06368333574215927,0.8999886184413769,0.05878739702269114
0.9099999999999999,0.909988130660293,0.064931120124359,0.909988130660293,0.06019618703879072
0.9199999999999999,0.9199876428792091,0.06608108585769326,0.9199876428792091,0.061733413453041605
0.9299999999999999,0.9299871550981252,0.06750354039547529,0.9299871550981252,0.06344738360403518
0.94,0.9399866673170414,0.06886113609631218,0.9399866673170414,0.065142185013492
0.95,0.9499861795359575,0.07013880568915057,0.9499861795359575,0.06698957673678266
